kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stream_fma_v6_variant3.1.sm_70.ptx 415 : 65536 360448 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 414 : 65536 314976 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 413 : 65536 592480 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 412 : 65536 594528 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 410 : 8388608 63343808 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 409 : 8388608 77902016 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 408 : 8388608 83970720 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 407 : 8388608 83911616 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 406 : 8388608 83945792 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 405 : 8454144 352896 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 404 : 8454144 53927104 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 402 : 65536 478272 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 401 : 65536 467744 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 400 : 65536 616352 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 399 : 65536 262944 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 398 : 65536 591840 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 397 : 65536 597760 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 395 : 8388608 63767904 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 394 : 8388608 77794784 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 393 : 8388608 83886944 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 392 : 8388608 83887296 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 391 : 8388608 83889344 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 390 : 8454144 374496 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 389 : 8454144 53939200 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 387 : 65536 477952 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 386 : 65536 466720 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 385 : 65536 615104 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 384 : 65536 263104 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 383 : 65536 592000 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 382 : 65536 597792 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 380 : 8388608 63452608 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 379 : 8388608 77776512 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 378 : 8388608 83887264 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 377 : 8388608 83887392 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 376 : 8388608 83889536 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 375 : 8454144 375232 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 374 : 8454144 53938432 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 372 : 65536 478304 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 280 : 65536 193728896 786432 0 0 24576 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 279 : 65536 3894496 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 278 : 65536 3471968 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 277 : 65536 2965600 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 276 : 65536 380537696 786432 0 0 24576 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 275 : 65536 12855552 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 274 : 65536 39397088 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 273 : 65536 63648928 0 0 0 0 0 0 0 
