case,family,point,mode,ctas,tiles,compute_reuse,cycles,speedup_v4_vs_v3,classification,cta_per_sm,active_occ_pct,eligible_occ_pct,avg_dram_bw_util,effective_dram_bw_gbps,pc_coissue_attempts,pc_coissue_success,pc_coissue_success_rate,single_issue_count,dual_issue_count,single_issue_rate,dual_issue_success_rate,pc_coissue_fail_dispatch_port,pc_coissue_fail_scoreboard,pc_coissue_fail_fu_conflict,pc_coissue_fail_lsu_lsu_conflict,max_abs,max_rel,verification,log_path
gather_poly_a,gather_poly,A,V3,128,128,4,171326,,,2,25.0,0.2642,0.16158333333333336,775.6000000000001,0,0,0.0,3435008,0,1.0,0.0,0,0,0,0,4.657e-10,4.657e-10,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/gather_poly_a_v3/full_run.log
gather_poly_a,gather_poly,A,V4,128,128,4,171024,1.0017658340349893,tie/noise,2,25.0,0.2627,0.16188333333333335,777.0400000000001,83081563,13144,0.000158,3408720,13144,0.996159,0.003841,27392,82984662,56365,8064,4.657e-10,4.657e-10,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/gather_poly_a_v4/full_run.log
pipe_fma_a,pipe_fma,A,V3,128,128,4,92759,,,2,25.0,5.7698,0.22379999999999986,1074.2399999999993,0,0,0.0,2976256,0,1.0,0.0,0,0,0,0,3.695e-06,2.2e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/pipe_fma_a_v3/full_run.log
pipe_fma_a,pipe_fma,A,V4,128,128,4,93595,0.9910678989262247,regression,2,25.0,5.7662,0.2218,1064.6399999999999,36375890,77450,0.002129,2821356,77450,0.973282,0.026718,18955722,17159384,183334,8064,3.695e-06,2.2e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/pipe_fma_a_v4/full_run.log
pipe_fma_b,pipe_fma,B,V3,128,128,16,100297,,,2,25.0,4.5999,0.20699999999999993,993.5999999999997,0,0,0.0,6908416,0,1.0,0.0,0,0,0,0,7.439e-05,1.27e-05,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/pipe_fma_b_v3/full_run.log
pipe_fma_b,pipe_fma,B,V4,128,128,16,101901,0.984259231999686,regression,2,25.0,4.4238,0.2036999999999999,977.7599999999995,36261246,96032,0.002648,6716352,96032,0.985903,0.014097,11719258,24259048,186908,8064,7.439e-05,1.27e-05,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/pipe_fma_b_v4/full_run.log
sepconv_a,sepconv,A,V3,128,64,4,51238,,,2,25.0,4.9264,0.20267500000000002,972.8400000000001,0,0,0.0,1632768,0,1.0,0.0,0,0,0,0,3.052e-05,1.578e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/sepconv_a_v3/full_run.log
sepconv_a,sepconv,A,V4,128,64,4,50078,1.0231638643715804,strong win,2,25.0,4.9308,0.20737500000000006,995.4000000000003,16361887,24013,0.001468,1584742,24013,0.985074,0.014926,9085975,7156150,95749,8064,3.052e-05,1.578e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/sepconv_a_v4/full_run.log
sepconv_b,sepconv,B,V3,256,64,8,95136,,,2,25.0,16.8883,0.2182416666666667,1047.5600000000002,0,0,0.0,4576256,0,1.0,0.0,0,0,0,0,0.000103,2.951e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/sepconv_b_v3/full_run.log
sepconv_b,sepconv,B,V4,256,64,8,93974,1.0123651222678614,weak win,2,25.0,16.9318,0.22100000000000006,1060.8000000000002,148902933,123893,0.000832,4328470,123893,0.972174,0.027826,107747542,39499275,1532223,63000,0.000103,2.951e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/sepconv_b_v4/full_run.log
stencil2d_a,stencil2d,A,V3,128,64,4,52023,,,2,25.0,4.9843,0.19955000000000003,957.8400000000001,0,0,0.0,1632768,0,1.0,0.0,0,0,0,0,5.245e-06,1.549e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/stencil2d_a_v3/full_run.log
stencil2d_a,stencil2d,A,V4,128,64,4,51798,1.0043437970578015,tie/noise,2,25.0,4.8875,0.20043333333333335,962.08,16248232,24030,0.001479,1584708,24030,0.985063,0.014937,8914629,7213250,96323,8064,5.245e-06,1.549e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/stencil2d_a_v4/full_run.log
stencil2d_b,stencil2d,B,V3,256,64,8,94695,,,2,25.0,16.7973,0.2192916666666667,1052.6000000000001,0,0,0.0,4576256,0,1.0,0.0,0,0,0,0,1.526e-05,3.615e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/stencil2d_b_v3/full_run.log
stencil2d_b,stencil2d,B,V4,256,64,8,94664,1.0003274740133525,tie/noise,2,25.0,16.8685,0.21931666666666672,1052.7200000000003,148383951,123268,0.000831,4329720,123268,0.972318,0.027682,107592709,39137441,1530533,63000,1.526e-05,3.615e-06,PASS,/home/yanggon/05_259_project/00_version0/00_doc/02_variant_data/variant_results/v4/runs/h200_v4_kernel_family_search/stencil2d_b_v4/full_run.log
