kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stream_fma_v6_variant3a.1.sm_70.ptx 415 : 65536 347040 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 414 : 65536 263168 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 413 : 65536 593216 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 412 : 65536 594048 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 410 : 8388608 58968736 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 409 : 8388608 76803744 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 408 : 8388608 83980768 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 407 : 8388608 83941568 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 406 : 8388608 84032544 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 405 : 8454144 365120 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 404 : 8454144 55937472 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 402 : 65536 457440 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 401 : 65536 465824 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 400 : 65536 614016 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 399 : 65536 264384 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 398 : 65536 598816 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 397 : 65536 598624 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 395 : 8388608 58976032 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 394 : 8388608 76851232 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 393 : 8388608 83985536 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 392 : 8388608 83939712 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 391 : 8388608 84045024 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 390 : 8454144 387552 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 389 : 8454144 56022688 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 387 : 65536 463712 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 386 : 65536 470304 0 0 0 0 0 0 0 
